,0,1,2,3,4
64,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/QaPo2jPNGK #TreCru https://t.co/2vNSEvPjF5",N/A,N/A,Fri May 13 13:15:58 +0000 2016,731110740644368386
65,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/3pBqWhFLJG #TreCru https://t.co/0211LOQGLj",N/A,N/A,Fri May 13 13:15:57 +0000 2016,731110735833661448
66,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/5zhNEtHLBW #TreCru https://t.co/h6PqSua6Fs",N/A,N/A,Fri May 13 13:15:56 +0000 2016,731110733530955776
67,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/0UcRmfDJ6w #TreCru https://t.co/JMew8KbP16",N/A,N/A,Fri May 13 13:15:56 +0000 2016,731110730947280897
68,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/LKHzIyrEix #TreCru https://t.co/fIa7rnF8w6",N/A,N/A,Fri May 13 13:15:56 +0000 2016,731110730934685696
69,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/maDlt2sdV4 #TreCru https://t.co/PjPkKpQorq",N/A,N/A,Fri May 13 13:15:56 +0000 2016,731110730032893952
70,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/94ievv26Zv #TreCru https://t.co/cvh37X7f4j",N/A,N/A,Fri May 13 13:15:55 +0000 2016,731110728820785152
71,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/qIlqBnRjsl #TreCru https://t.co/TOyhGJdu4m",N/A,N/A,Fri May 13 13:15:55 +0000 2016,731110726354542593
72,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/ZE9ePLuOiG #TreCru https://t.co/GztzhhmTAL",N/A,N/A,Fri May 13 13:15:55 +0000 2016,731110725712650240
73,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/gKK7bOK8oE #TreCru https://t.co/8jBvQjUeDd",N/A,N/A,Fri May 13 13:15:54 +0000 2016,731110725494673408
74,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/gZLhC0D4xm #TreCru https://t.co/LFZlbBZw9K",N/A,N/A,Fri May 13 13:15:54 +0000 2016,731110721375879168
75,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/3YSyaz149E #TreCru https://t.co/VGTaMT5AYf",N/A,N/A,Fri May 13 13:15:53 +0000 2016,731110719324819457
76,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/j8Fqv1GQ3m #TreCru https://t.co/C4DvNMK5sJ",N/A,N/A,Fri May 13 13:15:53 +0000 2016,731110718951571457
77,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/uXs8BgI5Cb #TreCru https://t.co/x8EmYPITC6",N/A,N/A,Fri May 13 13:15:53 +0000 2016,731110718372601856
78,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/XH1e5eSjmP #TreCru https://t.co/b8w6FdA9tA",N/A,N/A,Fri May 13 13:15:52 +0000 2016,731110716783087616
79,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/3TX42tbeKR #TreCru https://t.co/Mv6NigojNp",N/A,N/A,Fri May 13 13:15:51 +0000 2016,731110711200514048
80,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/bQf8J0s8LB #TreCru https://t.co/B1txSez9GY",N/A,N/A,Fri May 13 13:15:51 +0000 2016,731110709036191744
81,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/jym37gYIaI #TreCru https://t.co/YLzZbFt8ts",N/A,N/A,Fri May 13 13:15:49 +0000 2016,731110700525998081
82,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/26DJ1UZqwi #TreCru https://t.co/PD7nEQuMad",N/A,N/A,Fri May 13 13:15:48 +0000 2016,731110698818867200
83,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/hw85y4HCMp #TreCru https://t.co/1YYjqxHxo2",N/A,N/A,Fri May 13 13:15:47 +0000 2016,731110693789941760
84,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/1YLFiCMLxg #TreCru https://t.co/OmfV8gPVPJ",N/A,N/A,Fri May 13 13:15:47 +0000 2016,731110692670058496
85,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/qnEAfsTO6N #TreCru https://t.co/XfTXcgaNe0",N/A,N/A,Fri May 13 13:15:47 +0000 2016,731110692225421313
86,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/m08nlNtiYn #TreCru https://t.co/IzASig41Xm",N/A,N/A,Fri May 13 13:15:47 +0000 2016,731110692036743168
87,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/TP4NyFmTY7 #TreCru https://t.co/iIrHq68R4p",N/A,N/A,Fri May 13 13:15:46 +0000 2016,731110688068898816
88,"Jets_Headlines. New York Giants Victor Cruz discusses return, draft cri - Yardbarker https://t.co/ncjzRCAy1n",N/A,N/A,Fri May 13 13:15:45 +0000 2016,731110686873554944
89,"#GatewayComics I think Scott Pilgrim, Nimona, and the wonderful I Kill Giants are good places to start! #comics",N/A,N/A,Fri May 13 13:15:45 +0000 2016,731110683698450432
90,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/Ees6CcuZ6J #TreCru https://t.co/EHnFGeYAEh",N/A,N/A,Fri May 13 13:15:44 +0000 2016,731110683325140992
91,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/aDZD8dL4Fp #TreCru https://t.co/CpxP1bJv5x",N/A,N/A,Fri May 13 13:15:42 +0000 2016,731110672797474816
92,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/bcP5mJtAUx #TreCru https://t.co/lGMuRwvTa9",N/A,N/A,Fri May 13 13:15:42 +0000 2016,731110672331898884
93,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/L6pkI8DH7F #TreCru https://t.co/usooXBU0rM",N/A,N/A,Fri May 13 13:15:41 +0000 2016,731110666992533505
94,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/JPJ6QsxRoF #TreCru https://t.co/jy73jzODtX",N/A,N/A,Fri May 13 13:15:40 +0000 2016,731110665214005248
95,"Bryan Stow, attacked for being a baseball fan, finds his new calling https://t.co/vhRoBj0w00",N/A,N/A,Fri May 13 13:15:38 +0000 2016,731110654535454721
96,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/Y59xrPfUnf #TreCru https://t.co/Le0CDZ3jhu",N/A,N/A,Fri May 13 13:15:37 +0000 2016,731110652287324160
97,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/Ml4G7d5QX1 #TreCru https://t.co/Dfq1mG91gO",N/A,N/A,Fri May 13 13:15:37 +0000 2016,731110650726907904
98,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/5Z5zzOLXBv #TreCru https://t.co/OPnqdYtfrJ",N/A,N/A,Fri May 13 13:15:33 +0000 2016,731110634612490240
99,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/SMYIj5V6MT #TreCru https://t.co/XPaVhmt5xD",N/A,N/A,Fri May 13 13:15:32 +0000 2016,731110632901087233
100,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/dWe4wPZ2Ho #TreCru https://t.co/Q2iknlszQH",N/A,N/A,Fri May 13 13:15:32 +0000 2016,731110632154628096
101,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/yMQguvuhyN #TreCru https://t.co/pP14atS53T",N/A,N/A,Fri May 13 13:15:32 +0000 2016,731110631093456896
102,"Red Eye in the morning  calls for Juice Giants tonight. Celery, turmeric, spinach, l https://t.co/ljMFzZISzt https://t.co/LBoHeakqzG",N/A,N/A,Fri May 13 13:15:31 +0000 2016,731110626840465408
103,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/TY7MDlyKAD #TreCru https://t.co/FvuNDzfJhk",N/A,N/A,Fri May 13 13:15:31 +0000 2016,731110625791881216
104,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/xUzV4MzKvI #TreCru https://t.co/ofKMvFXccW",N/A,N/A,Fri May 13 13:15:31 +0000 2016,731110625728966656
105,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/SBEIyGT7bd #TreCru https://t.co/I2jpN9CfoR",N/A,N/A,Fri May 13 13:15:29 +0000 2016,731110619655643136
106,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/7hYf5Hp50V #TreCru https://t.co/0MepaZkSoi",N/A,N/A,Fri May 13 13:15:29 +0000 2016,731110619349450752
107,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/12tK8Q7nYA #TreCru https://t.co/htk17zxDa3",N/A,N/A,Fri May 13 13:15:28 +0000 2016,731110615385804800
108,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/afjtuVhWnv #TreCru https://t.co/18NT24DCnF",N/A,N/A,Fri May 13 13:15:28 +0000 2016,731110614026887169
109,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/Amq5OMn9Wa #TreCru https://t.co/l0bCYuaDtX",N/A,N/A,Fri May 13 13:15:28 +0000 2016,731110613779255296
110,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/S2niKQDTxS #TreCru https://t.co/3nkgOu7VYW",N/A,N/A,Fri May 13 13:15:28 +0000 2016,731110612512604160
111,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/75prAWniRI #TreCru https://t.co/rDuckWbsOm",N/A,N/A,Fri May 13 13:15:27 +0000 2016,731110611413766145
112,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/b5gZm7lVzq #TreCru https://t.co/vXrWSbO7JV",N/A,N/A,Fri May 13 13:15:25 +0000 2016,731110601158578176
113,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/sI0F4mABAR #TreCru https://t.co/rN35ZQL2bp",N/A,N/A,Fri May 13 13:15:25 +0000 2016,731110600986755072
114,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/hkxw2tqaRb #TreCru https://t.co/FmnagUieXO",N/A,N/A,Fri May 13 13:15:25 +0000 2016,731110599812218880
115,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/VNF3NZns3b #TreCru https://t.co/ZtqfWccNqp",N/A,N/A,Fri May 13 13:15:24 +0000 2016,731110598658904065
116,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/IVGdPWVF8t #TreCru https://t.co/ep98dVnFTW",N/A,N/A,Fri May 13 13:15:24 +0000 2016,731110598574936065
117,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/y96gyg2yU6 #TreCru https://t.co/vpgWpxU7G9",N/A,N/A,Fri May 13 13:15:24 +0000 2016,731110597635510273
118,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/uZQC8CgpuH #TreCru https://t.co/Yra30MvcE8",N/A,N/A,Fri May 13 13:15:23 +0000 2016,731110595412418560
119,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/pPn6kaqUNY #TreCru https://t.co/LxBKeXEgFL",N/A,N/A,Fri May 13 13:15:23 +0000 2016,731110592828846080
120,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/F7VsT8j2RY #TreCru https://t.co/y0A0fbtfgw",N/A,N/A,Fri May 13 13:15:22 +0000 2016,731110588210778112
121,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/4wjRAlZ3P1 #TreCru https://t.co/g0o4qvTqzX",N/A,N/A,Fri May 13 13:15:22 +0000 2016,731110587321724928
122,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/jnomHSI65V #TreCru https://t.co/cMqFp0LHKc",N/A,N/A,Fri May 13 13:15:21 +0000 2016,731110583949393920
123,"Found a Transponder Snail!
For honor! Giants clash in ancient jungle!
https://t.co/GK6TuP0S33 #TreCru https://t.co/VD9MdqiJlp",N/A,N/A,Fri May 13 13:15:20 +0000 2016,731110579927154688
124,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/8YOcTOCumY #TreCru https://t.co/jfIvnVDxQp",N/A,N/A,Fri May 13 13:15:17 +0000 2016,731110568602550272
125,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/FaMK7B90bR #TreCru https://t.co/o5Svhfg4XV",N/A,N/A,Fri May 13 13:15:17 +0000 2016,731110566304055297
126,@PlayBall Clayton Kershaw. ....go Giants. #PlayBall,N/A,N/A,Fri May 13 13:15:17 +0000 2016,731110566270504960
127,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/UbwgZl14FN #TreCru https://t.co/prDm1QKUL5",N/A,N/A,Fri May 13 13:15:16 +0000 2016,731110565632983040
128,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/EObL9EV1vu #TreCru https://t.co/W6bhhkLfoQ",N/A,N/A,Fri May 13 13:15:16 +0000 2016,731110564412395520
129,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/CPEKaydW2H #TreCru https://t.co/ss6z4PXGIs",N/A,N/A,Fri May 13 13:15:16 +0000 2016,731110562885709828
130,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/DqSXXDPr5i #TreCru https://t.co/QQp2qru9sE",N/A,N/A,Fri May 13 13:15:15 +0000 2016,731110561166036992
131,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/qhvdVlsR7F #TreCru https://t.co/Ut90GVw71N",N/A,N/A,Fri May 13 13:15:14 +0000 2016,731110556296478720
132,"Found a Transponder Snail!
Giants, sea monsters and other amazing encounters!
https://t.co/umtwpX5kb2 #TreCru https://t.co/zASEEzM7nT",N/A,N/A,Fri May 13 13:15:12 +0000 2016,731110547891073024
